geoid,name,B19013001,"B19013001, Error"
86000US33321,"33321",49784,3808
86000US33322,"33322",48179,4001
86000US33323,"33323",88946,6050
86000US33324,"33324",70461,4249
86000US33325,"33325",82805,7515
86000US33326,"33326",93197,6844
86000US33327,"33327",117906,20275
86000US33328,"33328",92227,5415
86000US33330,"33330",130208,19459
86000US33331,"33331",125608,5373
86000US33332,"33332",139984,14750
86000US33334,"33334",52303,5560
86000US33351,"33351",60848,6825
86000US33401,"33401",50824,3743
86000US33403,"33403",58371,5323
86000US33404,"33404",44165,2154
86000US33405,"33405",55000,5778
86000US33406,"33406",62785,4722
86000US33407,"33407",45093,3950
86000US33408,"33408",76030,6693
86000US33409,"33409",49641,2698
86000US33410,"33410",76371,5008
86000US33411,"33411",75019,3486
86000US33412,"33412",101196,13923
86000US33413,"33413",64714,7005
86000US33414,"33414",86553,3827
86000US33415,"33415",43567,2159
86000US33417,"33417",37924,2075
86000US33418,"33418",96311,5783
86000US33426,"33426",61239,3605
86000US33428,"33428",71239,5752
86000US33430,"33430",24615,3399
86000US33431,"33431",81381,7339
86000US33432,"33432",77250,5920
86000US33433,"33433",63774,3269
86000US33434,"33434",60457,4794
86000US33435,"33435",52210,4281
86000US33436,"33436",60422,3581
86000US33437,"33437",64612,3822
86000US33438,"33438",58750,26949
86000US33440,"33440",40883,3127
86000US33441,"33441",48778,2460
86000US33442,"33442",49599,2405
86000US33444,"33444",56722,5804
86000US33445,"33445",55274,2588
86000US33446,"33446",57383,5052
86000US33449,"33449",124107,14874
86000US33455,"33455",56987,5917
86000US33458,"33458",85811,5941
86000US33460,"33460",42329,4261
86000US33461,"33461",44107,1742
86000US33462,"33462",53428,2701
86000US33463,"33463",54417,2490
86000US33467,"33467",71821,3126
86000US33469,"33469",82443,7209
86000US33470,"33470",85648,7201
86000US33471,"33471",40074,3905
86000US33472,"33472",76543,5034
86000US33473,"33473",145245,19561
86000US33476,"33476",22199,3917
86000US33477,"33477",81883,8503
86000US33478,"33478",109847,6854
86000US33480,"33480",116901,16973
86000US33483,"33483",90280,7136
86000US33484,"33484",45200,1941
86000US33486,"33486",80970,11315
86000US33487,"33487",76786,8610
86000US33493,"33493",31850,7288
86000US33496,"33496",94816,8537
86000US33498,"33498",107242,8880
86000US33503,"33503",,
86000US33510,"33510",59061,3935
86000US33511,"33511",59862,3021
86000US33513,"33513",39758,3841
86000US33514,"33514",40994,13109
86000US33521,"33521",31167,9356
86000US33523,"33523",48365,2928
86000US33525,"33525",55103,2799
86000US33527,"33527",62171,4548
86000US33534,"33534",54125,9127
86000US33538,"33538",36953,2864
86000US33540,"33540",35812,2865
86000US33541,"33541",41681,2995
86000US33542,"33542",35095,2614
86000US33543,"33543",85855,4977
86000US33544,"33544",84122,4349
86000US33545,"33545",81687,4274
86000US33547,"33547",107489,7059
86000US33548,"33548",111841,8295
86000US33549,"33549",73251,4181
86000US33556,"33556",103983,5721
86000US33558,"33558",82928,4619
86000US33559,"33559",68895,7951
86000US33563,"33563",46554,3389
86000US33565,"33565",53606,4732
86000US33566,"33566",65064,5123
86000US33567,"33567",60170,6683
86000US33569,"33569",70583,5242
86000US33570,"33570",51429,3897
86000US33572,"33572",88654,5178
86000US33573,"33573",48644,2808
86000US33576,"33576",63433,6520
86000US33578,"33578",64181,3186
86000US33579,"33579",85033,3663
86000US33584,"33584",62004,6582
86000US33585,"33585",51326,16739
86000US33592,"33592",42308,5607
86000US33594,"33594",64854,2634
86000US33596,"33596",98993,5987
86000US33597,"33597",45335,7511
86000US33598,"33598",66961,3925
86000US33602,"33602",72824,5497
86000US33603,"33603",48197,3851
86000US33604,"33604",43094,3262
86000US33605,"33605",25855,2738
86000US33606,"33606",80878,6197
86000US33607,"33607",44806,3206
86000US33609,"33609",71225,7774
86000US33610,"33610",36742,1812
86000US33611,"33611",67421,7435
86000US33612,"33612",32200,1751
86000US33613,"33613",34932,2863
86000US33614,"33614",41954,1925
86000US33615,"33615",51672,2111
86000US33616,"33616",63074,3767
86000US33617,"33617",39700,2135
86000US33618,"33618",70605,2819
86000US33619,"33619",44085,2295
86000US33620,"33620",,
86000US33621,"33621",72428,6169
86000US33624,"33624",69910,4628
86000US33625,"33625",68634,4718
86000US33626,"33626",107269,7358
86000US33629,"33629",128248,6977
86000US33634,"33634",57423,4915
86000US33635,"33635",63899,6075
86000US33637,"33637",52004,4321
86000US33647,"33647",88649,4455
86000US33701,"33701",39251,2533
86000US33702,"33702",53243,4129
86000US33703,"33703",77953,9523
86000US33704,"33704",83031,6106
86000US33705,"33705",50637,2930
86000US33706,"33706",75636,4912
86000US33707,"33707",51279,2641
86000US33708,"33708",62924,2450
86000US33709,"33709",42111,2103
86000US33710,"33710",60463,3307
86000US33711,"33711",46628,3590
86000US33712,"33712",47690,2929
86000US33713,"33713",56999,4458
86000US33714,"33714",38245,2575
86000US33715,"33715",91386,5242
86000US33716,"33716",56867,4757
86000US33744,"33744",,
86000US33755,"33755",39406,3876
86000US33756,"33756",44271,3426
86000US33759,"33759",52344,3471
86000US33760,"33760",52465,4611
86000US33761,"33761",54151,5144
86000US33762,"33762",68411,6354
86000US33763,"33763",44790,3111
86000US33764,"33764",52760,3142
86000US33765,"33765",46297,3567
86000US33767,"33767",83770,13275
86000US33770,"33770",46355,4060
86000US33771,"33771",42528,3336
86000US33772,"33772",55200,5365
86000US33773,"33773",52884,3733
86000US33774,"33774",55394,3973
86000US33776,"33776",80703,5906
86000US33777,"33777",65207,7270
86000US33778,"33778",50150,3517
86000US33781,"33781",42936,4152
86000US33782,"33782",54063,6118
86000US33785,"33785",72222,6158
86000US33786,"33786",85500,17940
86000US33801,"33801",36031,2751
86000US33803,"33803",52832,1949
86000US33805,"33805",34525,2751
86000US33809,"33809",54465,3656
86000US33810,"33810",58285,3412
86000US33811,"33811",62678,2819
86000US33812,"33812",79688,5960
86000US33813,"33813",83521,4081
86000US33815,"33815",32193,3053
86000US33823,"33823",50309,3087
86000US33825,"33825",38579,3150
86000US33827,"33827",62631,12005
86000US33830,"33830",51083,4261
86000US33834,"33834",48471,5840
86000US33837,"33837",57337,4617
86000US33838,"33838",38899,10937
86000US33839,"33839",50335,7859
86000US33841,"33841",43653,4674
86000US33843,"33843",42668,2936
86000US33844,"33844",41883,3404
86000US33847,"33847",65750,30886
86000US33848,"33848",55750,38098
86000US33849,"33849",45640,15841
86000US33850,"33850",48341,4437
86000US33851,"33851",48519,5772
86000US33852,"33852",39421,4032
86000US33853,"33853",37689,3002
86000US33854,"33854",33750,25765
86000US33855,"33855",,
86000US33856,"33856",27986,9933
86000US33857,"33857",28546,11467
86000US33859,"33859",43688,3515
86000US33860,"33860",51904,2999
86000US33865,"33865",57917,54088
86000US33867,"33867",39038,24051
86000US33868,"33868",51250,5399
86000US33870,"33870",32364,2590
86000US33872,"33872",46574,3365
86000US33873,"33873",37766,4001
86000US33875,"33875",54054,2835
86000US33876,"33876",51088,8898
86000US33877,"33877",,
86000US33880,"33880",44239,2983
86000US33881,"33881",40897,3680
86000US33884,"33884",60298,3338
86000US33890,"33890",36082,4693
86000US33896,"33896",63958,4717
86000US33897,"33897",60430,5561
86000US33898,"33898",45193,2592
86000US33901,"33901",38112,2588
86000US33903,"33903",43870,3268
86000US33904,"33904",51861,2928
86000US33905,"33905",51634,2542
86000US33907,"33907",42530,4320
86000US33908,"33908",59596,2179
86000US33909,"33909",60105,6389
86000US33912,"33912",77333,4418
86000US33913,"33913",85268,6375
86000US33914,"33914",65381,5151
86000US33916,"33916",36349,1809
86000US33917,"33917",49671,2709
86000US33919,"33919",56932,2197
86000US33920,"33920",78377,4808
86000US33921,"33921",101250,12296
86000US33922,"33922",47143,5269
86000US33924,"33924",,
86000US33928,"33928",79078,2968
86000US33930,"33930",52713,27870
86000US33931,"33931",64738,4632
86000US33935,"33935",39098,3692
86000US33936,"33936",38567,4187
86000US33944,"33944",,
86000US33945,"33945",,
86000US33946,"33946",93547,21325
86000US33947,"33947",53302,6507
86000US33948,"33948",47394,3349
86000US33950,"33950",57852,3626
86000US33952,"33952",42484,2714
86000US33953,"33953",56451,10844
86000US33954,"33954",60841,5968
86000US33955,"33955",65558,5126
86000US33956,"33956",51774,10886
86000US33957,"33957",108081,6796
86000US33960,"33960",39514,6690
86000US33965,"33965",,
86000US33966,"33966",64686,9870
86000US33967,"33967",67996,4706
86000US33971,"33971",53840,3049
86000US33972,"33972",62092,5936
86000US33973,"33973",42991,3874
86000US33974,"33974",49645,3384
86000US33976,"33976",50190,2549
86000US33980,"33980",46451,3481
86000US33981,"33981",55568,3729
86000US33982,"33982",49750,6598
86000US33983,"33983",58148,4192
86000US33990,"33990",59541,3402
86000US33991,"33991",69179,8283
86000US33993,"33993",67680,7673
86000US34101,"34101",,
86000US34102,"34102",85938,10802
86000US34103,"34103",95559,12242
86000US34104,"34104",53303,3356
86000US34105,"34105",87617,13438
86000US34108,"34108",100705,11594
86000US34109,"34109",72095,7987
86000US34110,"34110",78410,2572
86000US34112,"34112",57792,3027
86000US34113,"34113",57365,6576
86000US34114,"34114",60746,6393
86000US34116,"34116",52131,2882
86000US34117,"34117",77035,9749
86000US34119,"34119",92266,2988
86000US34120,"34120",83398,9555
86000US34134,"34134",91019,10199
86000US34135,"34135",66616,5104
86000US34137,"34137",,
86000US34138,"34138",,
86000US34139,"34139",61250,31895
86000US34140,"34140",30489,29820
86000US34141,"34141",,
86000US34142,"34142",35172,5419
86000US34145,"34145",86215,6537
86000US34201,"34201",95164,11410
86000US34202,"34202",102703,5960
86000US34203,"34203",54558,4718
86000US34205,"34205",42816,2815
86000US34207,"34207",39812,4222
86000US34208,"34208",48664,1937
86000US34209,"34209",60037,3344
86000US34210,"34210",49662,3159
86000US34211,"34211",109194,22852
86000US34212,"34212",96307,5872
86000US34215,"34215",48015,22509
86000US34216,"34216",74000,14550
86000US34217,"34217",68029,17281
86000US34219,"34219",83831,3192
86000US34221,"34221",57983,2833
86000US34222,"34222",54718,7199
86000US34223,"34223",54586,2611
86000US34224,"34224",45210,3899
86000US34228,"34228",114762,9308
86000US34229,"34229",87039,15136
86000US34231,"34231",53332,2842
86000US34232,"34232",67146,3671
86000US34233,"34233",65738,4450
86000US34234,"34234",38243,4202
86000US34235,"34235",58740,3563
86000US34236,"34236",69331,10669
86000US34237,"34237",47756,5916
86000US34238,"34238",76465,5578
86000US34239,"34239",60733,5319
86000US34240,"34240",92000,10417
86000US34241,"34241",83316,6382
86000US34242,"34242",111190,12286
86000US34243,"34243",64847,4269
86000US34251,"34251",72500,11420
86000US34266,"34266",34078,2749
86000US34268,"34268",,
86000US34269,"34269",43393,5618
86000US34275,"34275",65713,5092
86000US34285,"34285",54890,4360
86000US34286,"34286",63743,8408
86000US34287,"34287",51017,3645
86000US34288,"34288",62469,24999
86000US34289,"34289",59471,34325
86000US34291,"34291",63287,15742
86000US34292,"34292",65991,4520
86000US34293,"34293",63063,2201
86000US34420,"34420",46435,6304
86000US34428,"34428",42096,12160
86000US34429,"34429",44958,4464
86000US34431,"34431",39812,4573
86000US34432,"34432",44577,3377
86000US34433,"34433",53989,7331
86000US34434,"34434",46250,8631
86000US34436,"34436",36875,5352
86000US34442,"34442",50009,6112
86000US34445,"34445",,
86000US34446,"34446",48084,3130
86000US34448,"34448",44717,2697
