geoid,name,B11002001,"B11002001, Error",B11002002,"B11002002, Error",B11002003,"B11002003, Error",B11002004,"B11002004, Error",B11002005,"B11002005, Error",B11002006,"B11002006, Error",B11002007,"B11002007, Error",B11002008,"B11002008, Error",B11002009,"B11002009, Error",B11002010,"B11002010, Error",B11002011,"B11002011, Error",B11002012,"B11002012, Error"
86000US34289,"34289",3481,1177,3119,1201,2139,969,2089,939,50,77,0,14,0,14,0,14,980,769,884,779,96,157,362,264
86000US34291,"34291",5626,965,5078,1023,3860,972,3834,968,26,41,283,283,237,231,46,66,935,622,900,605,35,42,548,225
86000US34292,"34292",15172,848,12009,833,10951,787,10862,774,89,88,282,253,282,253,0,21,776,326,745,317,31,37,3163,419
86000US34293,"34293",39483,1283,32012,1378,26560,1409,26307,1391,253,126,1357,404,1251,377,106,71,4095,700,3710,633,385,142,7471,663
86000US34420,"34420",17703,1444,15232,1642,8880,1449,8880,1449,0,21,1463,692,1138,552,325,304,4889,1406,4291,1276,598,296,2471,431
86000US34428,"34428",9043,1032,7182,1117,4980,980,4980,980,0,19,600,393,570,382,30,36,1602,714,1402,620,200,140,1861,413
86000US34429,"34429",8010,867,6069,848,4415,774,4415,774,0,19,502,365,400,274,102,125,1152,401,1081,397,71,82,1941,399
86000US34431,"34431",7997,813,6467,861,4189,525,4106,493,83,94,1003,472,879,408,124,72,1275,544,1186,509,89,91,1530,329
86000US34432,"34432",12493,935,10437,965,7914,937,7896,937,18,24,610,293,516,254,94,90,1913,655,1619,535,294,227,2056,274
86000US34433,"34433",6574,838,5377,816,3819,733,3782,735,37,65,165,235,123,174,42,62,1393,653,1378,650,15,28,1197,320
86000US34434,"34434",8013,801,6740,820,4126,810,4126,810,0,19,540,430,451,343,89,103,2074,796,1942,772,132,116,1273,330
86000US34436,"34436",8005,705,6202,718,4542,627,4474,632,68,77,570,293,523,265,47,49,1090,447,970,406,120,81,1803,297
86000US34442,"34442",14623,865,11733,879,9082,925,9002,917,80,70,1508,566,1317,494,191,105,1143,480,1061,443,82,60,2890,498
86000US34445,"34445",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US34446,"34446",17454,1125,14566,1172,11992,1262,11825,1216,167,136,885,383,826,358,59,60,1689,551,1634,513,55,73,2888,408
86000US34448,"34448",10288,897,7760,942,5347,878,5347,878,0,21,666,388,511,286,155,156,1747,553,1574,522,173,117,2528,420
86000US34449,"34449",3139,340,2270,378,1339,325,1243,297,96,62,197,128,195,128,2,3,734,327,652,323,82,61,869,190
86000US34450,"34450",10617,822,7965,863,5667,746,5628,749,39,56,766,458,712,444,54,43,1532,569,1500,563,32,33,2652,409
86000US34452,"34452",11676,611,9370,700,7105,742,7073,746,32,41,513,320,434,281,79,70,1752,478,1660,473,92,54,2306,392
86000US34453,"34453",10488,863,8280,880,5549,766,5519,749,30,48,1523,671,1304,576,219,140,1208,461,1123,431,85,71,2208,356
86000US34461,"34461",9894,954,7494,1044,5913,1037,5861,1027,52,57,318,232,318,232,0,21,1263,645,1164,571,99,125,2400,548
86000US34465,"34465",17427,1152,14074,1272,9912,1210,9850,1204,62,62,773,386,603,302,170,111,3389,796,3009,712,380,186,3353,422
86000US34470,"34470",19370,1123,15169,1293,8975,946,8930,942,45,42,1256,500,1042,423,214,133,4938,972,4490,825,448,263,4201,544
86000US34471,"34471",25162,1608,20396,1597,14967,1646,14762,1629,205,197,1449,731,1277,660,172,135,3980,830,3755,803,225,145,4766,599
86000US34472,"34472",31297,1787,27628,1807,18235,1867,18193,1883,42,55,1499,748,1226,541,273,336,7894,1402,7319,1317,575,237,3669,499
