geoid,name,B13016001,"B13016001, Error",B13016002,"B13016002, Error",B13016003,"B13016003, Error",B13016004,"B13016004, Error",B13016005,"B13016005, Error",B13016006,"B13016006, Error",B13016007,"B13016007, Error",B13016008,"B13016008, Error",B13016009,"B13016009, Error",B13016010,"B13016010, Error",B13016011,"B13016011, Error",B13016012,"B13016012, Error",B13016013,"B13016013, Error",B13016014,"B13016014, Error",B13016015,"B13016015, Error",B13016016,"B13016016, Error",B13016017,"B13016017, Error"
86000US33610,"33610",11384,652,445,152,51,47,25,27,206,102,58,49,84,55,18,21,3,23,10939,641,1370,233,1280,241,1548,337,2189,336,1581,369,1199,237,1772,254
86000US33611,"33611",7646,619,242,102,0,29,16,19,31,30,129,74,42,41,24,39,0,29,7404,640,707,200,564,202,1272,274,1010,236,1261,260,1041,239,1549,291
86000US33612,"33612",13975,793,846,223,67,61,209,114,244,127,206,114,79,64,41,40,0,32,13129,808,1625,327,2226,336,2508,423,1829,380,1526,301,1576,307,1839,294
86000US33613,"33613",10390,867,338,151,14,23,38,46,173,101,77,62,27,33,0,29,9,14,10052,851,1147,308,3672,577,1662,335,979,222,958,197,696,168,938,264
86000US33614,"33614",12853,863,614,271,67,97,94,65,220,144,136,110,65,86,25,40,7,12,12239,885,1494,367,1408,325,1710,379,1710,365,2244,366,1553,354,2120,395
86000US33615,"33615",12237,864,474,169,0,29,30,28,182,108,171,108,55,49,36,58,0,29,11763,871,1460,274,1110,277,2274,423,1684,376,1306,271,1925,401,2004,378
86000US33616,"33616",4289,424,164,70,0,21,6,10,35,33,48,31,64,57,0,21,11,18,4125,418,394,145,478,139,756,215,725,196,594,180,598,154,580,160
86000US33617,"33617",12857,1075,714,236,22,30,87,78,231,120,173,133,177,97,19,29,5,9,12143,1083,1225,300,2410,482,2545,502,1756,352,1613,340,981,253,1613,350
86000US33618,"33618",6029,569,208,88,0,25,37,47,22,18,72,50,61,46,16,19,0,25,5821,568,692,189,495,128,982,309,929,216,569,182,794,203,1360,306
86000US33619,"33619",10049,722,607,162,7,13,208,101,128,79,140,81,77,55,34,41,13,15,9442,694,955,253,1211,318,1738,332,1539,265,1115,239,1495,266,1389,257
86000US33620,"33620",3195,442,20,23,20,23,0,19,0,19,0,19,0,19,0,19,0,19,3175,437,2370,397,787,141,18,23,0,19,0,19,0,19,0,19
86000US33621,"33621",672,163,63,44,0,14,8,11,49,44,6,9,0,14,0,14,0,14,609,155,71,70,99,66,101,49,97,79,160,81,22,27,59,65
